,name,histogram similarity
0,Ajay.png,3.3399506
1,Akshay_kumar.png,31.991934
2,Aman.jpg,1.3072526
3,AmanP1.jpg,1.6114422
4,dalaiLama.png,1.3459767
5,dhoni.png,0.22986819
6,hitesh.jpg,1.8279405
7,jackie.png,3.3071153
8,modi.png,0.093184985
9,person1.png,1.1628938
10,person2.png,0.024282176
11,person3.png,0.40200922
12,person4.png,0.6508603
13,person5.png,0.92660606
14,person6.png,0.030161427
15,ravi.jpg,0.92045933
16,Sachin.png,1.4541441
17,SalmanKhan.png,1.0030355
18,trump.png,3.4573843
19,viratKohli.png,0.5696313
20,vivek.png,2.6060522
